cust_id,age,gender,location,interests,preferences,income_per_year,education,occupation
cust_001,25,Female,New York,"Luxury Shopping, Travel, Dining","discounts, new arrivals",18000,Masters,Marketing Manager
cust_002,30,Male,Los Angeles,"Fitness, Technology, Gaming","early access, exclusive deals",75000,Bachelors,Software Engineer
cust_003,28,Female,Chicago,"Fashion, Cooking, Art","personalized recommendations, loyalty rewards",60000,Masters,Graphic Designer
cust_004,35,Male,Houston,"Sports, Cars, Music","discounts, new releases",90000,Bachelors,Sales Manager
cust_005,22,Female,Phoenix,"Travel, Photography, Reading","student discounts, seasonal sales",30000,Associate,Photographer
cust_006,40,Male,Philadelphia,"Investing, Real Estate, Wine","exclusive events, premium offers",120000,Masters,Financial Analyst
cust_007,27,Female,San Antonio,"Yoga, Wellness, Fashion","wellness discounts, new arrivals",55000,Bachelors,Yoga Instructor
cust_008,33,Male,San Diego,"Technology, Gaming, Movies","early access, bundle deals",85000,Masters,IT Consultant
cust_009,29,Female,Dallas,"Fashion, Beauty, Travel","loyalty rewards, personalized offers",70000,Bachelors,Fashion Designer
cust_010,45,Male,San Jose,"Cars, Technology, Sports","exclusive deals, premium offers",150000,Masters,Automotive Engineer
cust_011,26,Female,Austin,"Music, Travel, Food","discounts, new releases",48000,Bachelors,Event Planner
cust_012,31,Male,Jacksonville,"Fitness, Technology, Gaming","early access, exclusive deals",80000,Masters,Data Scientist
cust_013,24,Female,San Francisco,"Art, Fashion, Travel","student discounts, seasonal sales",40000,Bachelors,Artist
cust_014,38,Male,Columbus,"Investing, Real Estate, Wine","exclusive events, premium offers",110000,Masters,Real Estate Agent
cust_015,23,Female,Indianapolis,"Fitness, Cooking, Reading","wellness discounts, new arrivals",35000,Associate,Personal Trainer
cust_016,36,Male,Seattle,"Technology, Gaming, Movies","early access, bundle deals",95000,Masters,Game Developer
cust_017,28,Female,Denver,"Fashion, Beauty, Travel","loyalty rewards, personalized offers",65000,Bachelors,Makeup Artist
cust_018,42,Male,Washington DC,"Cars, Technology, Sports","exclusive deals, premium offers",130000,Masters,Mechanical Engineer
cust_019,27,Female,Boston,"Music, Travel, Food","discounts, new releases",50000,Bachelors,Musician
cust_020,34,Male,Nashville,"Fitness, Technology, Gaming","early access, exclusive deals",88000,Masters,Fitness Coach
cust_021,25,Female,Portland,"Art, Fashion, Travel","student discounts, seasonal sales",42000,Bachelors,Illustrator
cust_022,39,Male,Oklahoma City,"Investing, Real Estate, Wine","exclusive events, premium offers",115000,Masters,Investment Banker
cust_023,26,Female,Las Vegas,"Fitness, Cooking, Reading","wellness discounts, new arrivals",38000,Associate,Nutritionist
cust_024,37,Male,Baltimore,"Technology, Gaming, Movies","early access, bundle deals",92000,Masters,Software Developer
cust_025,29,Female,Louisville,"Fashion, Beauty, Travel","loyalty rewards, personalized offers",68000,Bachelors,Fashion Stylist
cust_026,43,Male,Milwaukee,"Cars, Technology, Sports","exclusive deals, premium offers",140000,Masters,Automotive Designer
cust_027,24,Female,Albuquerque,"Music, Travel, Food","discounts, new releases",45000,Bachelors,Music Producer
cust_028,32,Male,Tucson,"Fitness, Technology, Gaming","early access, exclusive deals",82000,Masters,Personal Trainer
cust_029,27,Female,Fresno,"Art, Fashion, Travel","student discounts, seasonal sales",47000,Bachelors,Art Curator
cust_030,41,Male,Sacramento,"Investing, Real Estate, Wine","exclusive events, premium offers",125000,Masters,Real Estate Developer
cust_031,26,Female,Mesa,"Fitness, Cooking, Reading","wellness discounts, new arrivals",40000,Associate,Chef
cust_032,35,Male,Kansas City,"Technology, Gaming, Movies","early access, bundle deals",90000,Masters,Game Designer
